"Source domain","Category","Domain","Source Type","Visits","Domain Traffic Split","Traffic Share"
"google.com","online_services,mass_media,publishing","btcc.com","付费搜索","16271","98.94%","0.04%"
"google.com","online_services,mass_media,publishing","tapbit.com","付费搜索","175","1.06%","0.04%"
"google.ca","education","btcc.com","付费搜索","629","100%","< 0.01%"
"google.ca","education","tapbit.com","付费搜索","0","0%","< 0.01%"
"bing.com","online_services,entertainment,mass_media","btcc.com","付费搜索","38","100%","< 0.01%"
"bing.com","online_services,entertainment,mass_media","tapbit.com","付费搜索","0","0%","< 0.01%"
